id,client,plan,model,input_tokens,output_tokens,latency_ms,cost_usd,date,status
usage-00001,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,180,618,3224,0.04584,2024-02-02,success
usage-00002,chloe@airesearch.org,pro,all-MiniLM-L6-v2,877,784,629,0.000909,2024-02-18,success
usage-00003,faisal@llmconsult.ae,pro,llama-2-13b-chat,300,272,2015,0.02373,2024-02-20,success
usage-00004,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,201,616,2180,0.00363,2024-03-11,success
usage-00005,faisal@llmconsult.ae,pro,llama-2-13b-chat,124,775,265,0.037862,2024-01-28,success
usage-00006,chloe@airesearch.org,pro,llama-2-13b-chat,124,217,2830,0.021612,2024-02-19,success
usage-00007,chloe@airesearch.org,pro,mistral-7b-instruct,463,632,3646,0.007074,2024-03-05,success
usage-00008,dmitri@mlops.dev,pro,llama-2-13b-chat,290,504,2128,0.008886,2024-03-20,success
usage-00009,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1588,561,712,0.031456,2024-01-09,success
usage-00010,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,342,41,1134,0.022409,2024-02-26,success
usage-00011,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1810,337,474,0.041342,2024-03-24,success
usage-00012,grace@deeplearn.ng,pro,mistral-7b-instruct,1372,151,1384,0.00098,2024-03-05,success
usage-00013,alice@techcorp.io,enterprise,llama-2-13b-chat,1117,465,3285,0.067562,2024-02-24,success
usage-00014,grace@deeplearn.ng,pro,mistral-7b-instruct,1622,758,355,0.027664,2024-03-06,success
usage-00015,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1707,59,2314,0.028238,2024-01-11,success
usage-00016,faisal@llmconsult.ae,pro,llama-2-13b-chat,353,763,399,0.019658,2024-01-10,success
usage-00017,bruno@datascience.co,pro,all-MiniLM-L6-v2,1821,467,2216,0.008539,2024-03-04,success
usage-00018,dmitri@mlops.dev,pro,mistral-7b-instruct,367,780,636,0.065479,2024-02-22,success
usage-00019,faisal@llmconsult.ae,pro,llama-2-13b-chat,196,238,3682,0.066654,2024-03-25,success
usage-00020,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1365,747,2301,0.046896,2024-02-28,success
usage-00021,alice@techcorp.io,enterprise,mistral-7b-instruct,1291,60,355,0.070098,2024-02-17,success
usage-00022,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1355,783,3454,0.030755,2024-02-06,success
usage-00023,grace@deeplearn.ng,pro,llama-2-13b-chat,1721,479,3632,0.009903,2024-03-02,success
usage-00024,faisal@llmconsult.ae,pro,mistral-7b-instruct,664,331,3048,0.00734,2024-01-19,success
usage-00025,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,744,611,3541,0.015694,2024-01-23,success
usage-00026,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,148,618,269,0.058107,2024-01-11,success
usage-00027,chloe@airesearch.org,pro,llama-2-13b-chat,579,747,1599,0.015491,2024-01-25,success
usage-00028,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,528,129,1458,0.075955,2024-01-24,success
usage-00029,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,865,206,996,0.043283,2024-01-27,success
usage-00030,eva@nlplab.dk,enterprise,llama-2-13b-chat,954,614,1750,0.010104,2024-02-07,success
usage-00031,chloe@airesearch.org,pro,llama-2-13b-chat,1632,287,1508,0.039308,2024-03-20,success
usage-00032,dmitri@mlops.dev,pro,all-MiniLM-L6-v2,1361,584,649,0.029906,2024-03-24,success
usage-00033,chloe@airesearch.org,pro,all-MiniLM-L6-v2,591,470,2217,0.023621,2024-02-12,success
usage-00034,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,247,324,285,0.023732,2024-02-22,success
usage-00035,dmitri@mlops.dev,pro,mistral-7b-instruct,871,200,1680,0.00781,2024-02-20,success
usage-00036,alice@techcorp.io,enterprise,mistral-7b-instruct,1201,525,2470,0.04352,2024-03-07,success
usage-00037,alice@techcorp.io,enterprise,llama-2-13b-chat,1057,554,1028,0.047491,2024-01-22,success
usage-00038,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1738,422,571,0.007897,2024-02-06,success
usage-00039,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,443,693,2655,0.000558,2024-03-18,success
usage-00040,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,756,173,1292,0.014924,2024-01-12,success
usage-00041,bruno@datascience.co,pro,mistral-7b-instruct,447,563,1571,0.05091,2024-02-21,success
usage-00042,faisal@llmconsult.ae,pro,llama-2-13b-chat,602,564,434,0.045886,2024-03-04,success
usage-00043,alice@techcorp.io,enterprise,llama-2-13b-chat,1783,591,3673,0.008469,2024-02-05,success
usage-00044,chloe@airesearch.org,pro,llama-2-13b-chat,763,87,1714,0.0149,2024-02-13,success
usage-00045,chloe@airesearch.org,pro,mistral-7b-instruct,1252,514,1147,0.009516,2024-01-19,success
usage-00046,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1800,321,773,0.063907,2024-02-18,success
usage-00047,alice@techcorp.io,enterprise,all-MiniLM-L6-v2,1938,336,248,0.00011,2024-01-19,success
usage-00048,chloe@airesearch.org,pro,llama-2-13b-chat,1743,336,2520,0.026235,2024-02-04,success
usage-00049,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1665,147,1837,0.036237,2024-01-22,success
usage-00050,dmitri@mlops.dev,pro,mistral-7b-instruct,1846,286,235,0.0799,2024-01-13,success
usage-00051,chloe@airesearch.org,pro,all-MiniLM-L6-v2,184,350,975,0.055381,2024-01-21,success
usage-00052,faisal@llmconsult.ae,pro,all-MiniLM-L6-v2,297,548,1126,0.056863,2024-01-11,rate_limited
usage-00053,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,1353,639,2906,0.079827,2024-02-16,success
usage-00054,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,248,134,300,0.031462,2024-01-24,success
usage-00055,dmitri@mlops.dev,pro,llama-2-13b-chat,438,786,1511,0.068015,2024-01-06,success
usage-00056,chloe@airesearch.org,pro,mistral-7b-instruct,167,641,3887,0.065652,2024-03-04,success
usage-00057,grace@deeplearn.ng,pro,all-MiniLM-L6-v2,1273,625,121,0.074149,2024-01-12,success
usage-00058,hiroshi@robotics.jp,enterprise,llama-2-13b-chat,194,123,635,0.05537,2024-02-23,success
usage-00059,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,1175,222,3850,0.022439,2024-03-24,success
usage-00060,alice@techcorp.io,enterprise,mistral-7b-instruct,1194,178,1776,0.024303,2024-02-01,success
usage-00061,hiroshi@robotics.jp,enterprise,all-MiniLM-L6-v2,821,424,1673,0.015193,2024-01-10,success
usage-00062,chloe@airesearch.org,pro,all-MiniLM-L6-v2,1221,723,471,0.019573,2024-02-27,success
usage-00063,faisal@llmconsult.ae,pro,mistral-7b-instruct,1576,712,1056,0.048102,2024-03-20,success
usage-00064,chloe@airesearch.org,pro,mistral-7b-instruct,1083,557,3326,0.024647,2024-03-27,success
usage-00065,hiroshi@robotics.jp,enterprise,mistral-7b-instruct,1089,345,112,0.025432,2024-03-07,success
usage-00066,eva@nlplab.dk,enterprise,llama-2-13b-chat,492,76,3245,0.051942,2024-01-14,success
usage-00067,eva@nlplab.dk,enterprise,llama-2-13b-chat,759,269,2711,0.034598,2024-03-14,success
usage-00068,eva@nlplab.dk,enterprise,all-MiniLM-L6-v2,359,157,3320,0.001907,2024-02-16,success
usage-00069,faisal@llmconsult.ae,pro,mistral-7b-instruct,1247,267,2807,0.021064,2024-03-25,success
usage-00070,eva@nlplab.dk,enterprise,llama-2-13b-chat,554,778,3423,0.006687,2024-01-17,success
usage-00071,bruno@datascience.co,pro,mistral-7b-instruct,1512,786,2276,0.065352,2024-01-28,success
usage-00072,grace@deeplearn.ng,pro,llama-2-13b-chat,981,134,436,0.068691,2024-02-11,success
usage-00073,dmitri@mlops.dev,pro,llama-2-13b-chat,750,257,3067,0.054862,2024-01-15,success
usage-00074,bruno@datascience.co,pro,llama-2-13b-chat,1774,568,363,0.010703,2024-01-24,success
